key,ar,en,es,ja
faq.questionsSection.questionsByTopic.حول Virufy.4.answer.0.content.0.text,"أكثر من 1,000 متطوع قدموا آلاف الساعات لجعل المشروع ممكنًا. قدمت العديد من الشركات دعمها لنا من خلال برامج مجانية، بما في ذلك البريد الإلكتروني، والتخزين، ومنصات الرسائل، بالإضافة إلى خدمات الحوسبة السحابية. بعض البرامج مثل مؤتمرات الفيديو وأدوات إدارة المشاريع لم تكن مجانية، وللأسف تم دفع تكلفتها من مدخرات مؤسس المشروع أمل المحدودة. نعتقد أنه إذا نجحنا، ستزداد تكاليف الحوسبة السحابية لدينا، لكننا سنتمكن من جذب تمويل كافٍ من المنح والتبرعات الخاصة، بالإضافة إلى دعم حكومي للحفاظ على نظامنا قيد التشغيل.",,,
faq.questionsSection.questionsByTopic.حول الذكاء الاصطناعي.0.question,لماذا يمكن التمييز بين السعال الناتج عن عدوى الجهاز التنفسي العلوي؟,,,
faq.questionsSection.questionsByTopic.حول الذكاء الاصطناعي.0.answer.0.type,paragraph,,,
faq.questionsSection.questionsByTopic.حول الذكاء الاصطناعي.0.answer.0.content.0.type,text,,,
faq.questionsSection.questionsByTopic.حول الذكاء الاصطناعي.0.answer.0.content.0.text,تُلحق التهابات الجهاز التنفسي العلوي الضرر بالحلق والرئتين، مما يُؤدي إلى اختلافات ملحوظة في أنماط السعال. وبالتالي، يُمكن تحليل أصوات السعال للكشف عن التهابات الجهاز التنفسي العلوي. عالميًا، تُجري العديد من المؤسسات المرموقة أبحاثًا نشطة حول هذه الفكرة، بما في ذلك جامعة كارنيجي ميلون (CMU)، ومعهد ماساتشوستس للتكنولوجيا (MIT)، وجامعة كامبريدج. على سبيل المثال، أظهر بحث أجرته جامعة كامبريدج أن مُصنِّفًا بسيطًا يعتمد على التعلم الآلي الثنائي قادر على تصنيف مرضى كوفيد-19 المصابين من خلال أصوات التنفس والسعال بدقة عالية. وبالمثل، حدد باحثون في جامعة كارنيجي ميلون 18 سمة صوتية تُميز مرضى كوفيد-19 المصابين، ودرّبوا نموذجًا أكاديميًا للكشف عن كوفيد-19 بدقة عالية.,,,
faq.questionsSection.questionsByTopic.حول الذكاء الاصطناعي.1.question,ما هي الصعوبة الرئيسية في جمع ومعالجة البيانات؟ وهل كانت هناك مناطق كانت فيها دقة الذكاء الاصطناعي أقل، على سبيل المثال؟,,,
faq.questionsSection.questionsByTopic.حول الذكاء الاصطناعي.1.answer.0.type,paragraph,,,
faq.questionsSection.questionsByTopic.حول الذكاء الاصطناعي.1.answer.0.content.0.type,text,,,
faq.questionsSection.questionsByTopic.حول الذكاء الاصطناعي.1.answer.0.content.0.text,"تعتبر العملية بطيئة وشاقة عند جمع البيانات من المستشفيات، حيث تتطلب استمارات دراسات سريرية وموافقات من لجان المراجعة المؤسسية (IRB). بإشراف مستشارين طبيين من جامعات مختلفة، بما في ذلك هارفارد وستانفورد، قمنا بتسجيل أكثر من 250,000 مريض في دراساتنا السريرية في 5 دول. لجمع البيانات مباشرة من المستخدمين، بذلنا جهودًا كبيرة مع محامين خبراء يقدمون خدماتهم بشكل تطوعي لضمان الامتثال لقوانين خصوصية البيانات، بما في ذلك LGPD، GDPR، وCCPA. كما هو موضح في ورقتنا البحثية، تضمنت بعض الصعوبات التي واجهناها أثناء معالجة البيانات وجود ضوضاء خلفية مفرطة وتسجيلات سعال غير صحيحة مقدمة من المستخدمين، مما اضطر مطوري الذكاء الاصطناعي إلى تنظيف العينات الصوتية يدويًا قبل تدريب النماذج.",,,
faq.questionsSection.questionsByTopic.حول الذكاء الاصطناعي.2.question,هل يمكن اكتشاف الحالات غير العرضية؟,,,
faq.questionsSection.questionsByTopic.حول الذكاء الاصطناعي.2.answer.0.type,paragraph,,,
faq.questionsSection.questionsByTopic.حول الذكاء الاصطناعي.2.answer.0.content.0.type,text,,,
faq.questionsSection.questionsByTopic.حول الذكاء الاصطناعي.2.answer.0.content.0.text,نعم، لقد أظهرت الأبحاث التي أجراها معهد ماساتشوستس للتكنولوجيا (MIT) ومجموعات أخرى إمكانية اكتشاف الحالات غير العرضية. هذا مهم بشكل خاص للأشخاص في العشرينات والثلاثينات من أعمارهم الذين هم أكثر عرضة لأن يكونوا دون أعراض.,,,
faq.questionsSection.questionsByTopic.حول الذكاء الاصطناعي.3.question,هل ستستخدم التطبيق ذكاء اصطناعي تم تطويره من قبل أطراف ثالثة أم تم إنشاؤه خصيصًا لهذا الغرض؟,,,
faq.questionsSection.questionsByTopic.حول الذكاء الاصطناعي.3.answer.0.type,paragraph,,,
faq.questionsSection.questionsByTopic.حول الذكاء الاصطناعي.3.answer.0.content.0.type,text,,,
faq.questionsSection.questionsByTopic.حول الذكاء الاصطناعي.3.answer.0.content.0.text,يمتلك Virufy فريقًا خاصًا بالبحث في مجال الذكاء الاصطناعي مع تقنيات مسجلة ببراءات اختراع. نحن منفتحون على التعاون، والتطوير المشترك، ودمج خوارزميات الذكاء الاصطناعي من مجموعات بحثية أخرى.,,,
faq.questionsSection.questionsByTopic.الشؤون المالية.0.question,هل أحتاج إلى تقديم مساهمة مالية للتبرع بسعالي؟,,,
faq.questionsSection.questionsByTopic.الشؤون المالية.0.answer.0.type,paragraph,,,
faq.questionsSection.questionsByTopic.الشؤون المالية.0.answer.0.content.0.type,text,,,
faq.questionsSection.questionsByTopic.الشؤون المالية.0.answer.0.content.0.text,"حاليًا، يقوم Virufy بجمع السعال فقط من بعض البلدان، والتي يمكن العثور عليها في تطبيقنا: ",,,
faq.questionsSection.questionsByTopic.الشؤون المالية.0.answer.0.content.1.type,link,,,
faq.questionsSection.questionsByTopic.الشؤون المالية.0.answer.0.content.1.text,https://virufy.org/study,,,
faq.questionsSection.questionsByTopic.الشؤون المالية.0.answer.0.content.1.href,https://virufy.org/study,,,
faq.questionsSection.questionsByTopic.الشؤون المالية.0.answer.0.content.2.type,text,,,
faq.questionsSection.questionsByTopic.الشؤون المالية.0.answer.0.content.2.text,.,,,
faq.questionsSection.questionsByTopic.الشؤون المالية.1.question,كم عدد المتبرعين الذين حصلتم عليهم إجمالاً؟,,,
faq.questionsSection.questionsByTopic.الشؤون المالية.1.answer.0.type,paragraph,,,
faq.questionsSection.questionsByTopic.الشؤون المالية.1.answer.0.content.0.type,text,,,
faq.questionsSection.questionsByTopic.الشؤون المالية.1.answer.0.content.0.text,"لدينا أكثر من 5,000 تسجيل للسعال من أكثر من 10 دول، معظمها في أمريكا الجنوبية وجنوب آسيا. بعضها تسجيلات سريرية، والبعض الآخر ساهم بها الأفراد مباشرةً عبر تطبيقنا.",,,
faq.questionsSection.questionsByTopic.الشؤون المالية.2.question,ما هي النفقات التشغيلية للمنظمة؟,,,
faq.questionsSection.questionsByTopic.الشؤون المالية.2.answer.0.type,paragraph,,,
faq.questionsSection.questionsByTopic.الشؤون المالية.2.answer.0.content.0.type,text,,,
faq.questionsSection.questionsByTopic.الشؤون المالية.2.answer.0.content.0.text,نحن حالياً نعمل بالكامل من خلال المتطوعين. تتطلب ميزانيتنا بشكل رئيسي التسويق والدراسات السريرية لجمع بيانات السعال. كما سنحتاج إلى ميزانية للتشغيل الحسابي لاحقًا بعد التوسع إلى قاعدة مستخدمين كبيرة.,,,
faq.questionsSection.questionsByTopic.الشؤون المالية.3.question,هل تحصلون على تمويل؟ إذا كان كذلك، من أين وكم؟ وعلى ماذا يُنفق؟,,,
faq.questionsSection.questionsByTopic.الشؤون المالية.3.answer.0.type,paragraph,,,
faq.questionsSection.questionsByTopic.الشؤون المالية.3.answer.0.content.0.type,text,,,
faq.questionsSection.questionsByTopic.الشؤون المالية.3.answer.0.content.0.text,نحن نتعاون مع العديد من الجامعات للتقديم على منح البحث والتطوير (R&D) بالاعتماد على وضعنا كمنظمة غير ربحية 501(c)(3).,,,
faq.questionsSection.questionsByTopic.الخصوصية.0.question,كيف سيقوم Virufy بتخزين بياناتي بأمان؟,,,
